Var_,VarCode,VarName
550,Abi.b,Abies balsamea
917,Abi.1/3,Abies (1/3 grains)
6,Ace.ru,Acer rubrum
555,Ace.sa,Acer saccharum
29,Bet,Betula
3618,Betae.co,Betulaceae (corroded)
210,Pic,Picea
915,Pic.1/3,Picea (1/3 grains)
385,Pin,Pinus
916,Pin.1/3,Pinus (1/3 grains)
697,Pin.st,Pinus strobus
2093,Pin.ba,Pinus banksiana
761,Jc/To-t,Juniperus communis/Thuja occidentalis-type
1460,Lar.l,Larix laricina
763,Tsu.c,Tsuga canadensis
251,Que,Quercus
310,Ulm,Ulmus
2588,Fag.g,Fagus grandifolia
587,Car.c,Carya cordiformis
588,Car.o,Carya ovata
112,Fra.ni-t,Fraxinus nigra-type
113,Fra.pe-t,Fraxinus pennsylvanica-type
3726,Fra.cf.a,Fraxinus cf. F. americana
144,Jug.c,Juglans cinerea
1155,Pop.tr,Populus tremuloides
1151,Pop.ba,Populus balsamifera
271,Slx,Salix
1361,,Alnus crispa-type
13,Aln.i-t,Alnus incana-type
603,Cor.co,Corylus cornuta
8,Ace.sp,Acer spicatum
5,Ace.pe,Acer pensylvanicum
607,Die.l,Diervilla lonicera
366,Eph,Ephedra
92,Ercae,Ericaceae
640,Lon.cn,Lonicera canadensis
715,Pru,Prunus
719,Pru.v,Prunus virginiana
716,Pru.p,Prunus pensylvanica
768,Vib.a,Viburnum alnifolium
74,Cypae,Cyperaceae
25,Art,Artemisia
345,Amb,Ambrosia
418,Astae.As,Asteraceae subf. Asteroideae
311,Apiae,Apiaceae
420,Braae,Brassicaceae
3419,Cdu-t,Carduus-type
45,Cryae,Caryophyllaceae
596,Cheae,Chenopodiaceae
617,Epi.a-t,Epilobium angustifolium-type
346,Fabae,Fabaceae
1428,Fil,Filipendula
480,Pln,Plantago
417,Poaae,Poaceae
233,Pol.la-t,Polygonum lapathifolium-type
355,Rosae.ud,Rosaceae undiff.
735,Rum-t,Rumex-type
748,Sax.st-t,Saxifraga stellaris-type
300,Tha,Thalictrum
464,Urtae,Urticaceae
312,ind,Indeterminable
190,Nup,Nuphar
308,Ty/Sp,Typha/Sparganium
711,Po/Tr,Potamogeton/Triglochin
584,cf.Cll,cf. Callitriche
309,Typ.l,Typha latifolia
3728,Elod.cf,cf. Elodea
168,Lyc.a,Lycopodium annotinum
651,Lyc.o-t,Lycopodium obscurum-type
720,Ptr.a,Pteridium aquilinum
348,sp.m,Spore (monolete)
339,sp.t,Spore (trilete)
294,Spg,Sphagnum
202,Pdi,Pediastrum
933,APS,Author's pollen sum
922,residu.g,"Sample mass (of prepared, g)"
920,sanCg/ml,"Sand (concentration, g/ml)"
95,Euc.spik,Eucalyptus spike (number counted)
927,PCEuc/ml,Pollen concentration - Eucalyptus method (grains/ml)
1,Abi,Abies
3644,Abi.a,Abies alba
2651,Abi.n,Abies nordmanniana
1500,Abr,Abronia
2326,Abu,Abutilon
1707,Abu-t,Abutilon-type
1580,Acc,Acacia
2365,Acc.I,Acacia (type I)
2366,Acc.III,Acacia (type III)
1021,Acn,Acaena
2165,Acn-t,Acaena-type
2,Acl,Acalypha
1887,Acl.lar,Acalypha (large)
1916,Acl.2,Acalypha (type 2)
2596,Acl.cf.r,Acalypha cf. A. rhomboidea
1889,Acl.ud,Acalypha undiff.
1716,Acaae,Acanthaceae
2453,Acaae.ud,Acanthaceae undiff.
2440,Aca,Acanthus
338,Ace,Acer
3476,Ace.cf.g,Acer cf. A. glabrum
3165,Ace.cf.n,Acer cf. A. negundo
552,Ace.cf.p,Acer cf. A. pensylvanicum
864,Ace.ci,Acer circinatum
1464,Ace.ci-t,Acer circinatum-type
1411,Ace.gl,Acer glabrum
865,Ace.ma,Acer macrophyllum
970,Ace.ma-t,Acer macrophyllum-type
4,Ace.ne,Acer negundo
803,Ace.ne-t,Acer negundo-type
553,Ace.ni,Acer nigrum
1318,Ace.pl,Acer platanoides
3627,Ace.ru-t,Acer rubrum-type
554,Ace.sc,Acer saccharinum
7,Ace.sc-t,Acer saccharinum-type
3,Ace.sa-t,Acer saccharum-type
9,Ace.ud,Acer undiff.
3166,Aceae,Aceraceae
820,Ach-t,Achillea-type
2445,Ahy,Achyranthes
2446,Ahy.a,Achyranthes aspera
2805,Acp,Aciphylla
1143,Acm,Aconitum
3561,Acm-t,Aconitum-type
2240,Acg,Aconogonon
2241,Acg.a,Aconogonon alaskanum
2625,Acg.t,Aconogonon tripterocarpum
556,Aco.c,Acorus calamus
1130,Acr,Acrostichum
1917,Acr-t,Acrostichum-type
1176,Act,Actaea
3381,Atiae,Actinidiaceae
1762,Aci.c,Actinostemon concolor
1652,Ade,Adesmia
3218,,Adiantaceae
10,Adi,Adiantum
948,Adi.p,Adiantum pedatum
1092,Adi-t,Adiantum-type
3714,Ado-t,Adonis-type
2520,Aer,Aerva
2499,Aec,Aeschynomene
2500,Aec.b,Aeschynomene baumii
11,Aes,Aesculus
1599,Aexae,Aextoxicaceae
1035,Aex.p,Aextoxicon punctatum
2382,Afr,Afrocrania
2383,Afr.v,Afrocrania volkensii
3653,Agn-t,Agalinis-type
1399,Ags-t,Agastache-type
2863,Aga,Agathis
2371,Agvae,Agavaceae
1479,Agv,Agave
3506,Age.h,Ageratum houstonianum
1337,Agr-t,Agrostemma-type
2506,Aid,Aidia
2507,Aid.m,Aidia micrantha
2483,Alh,Alchemilla
1708,Alc,Alchornea
1888,Alc.2,Alchornea (type 2)
2544,Alc.ud,Alchornea undiff.
3219,Alc/Apm,Alchornea/Aparisthmium
2081,Alf,Alfaroa
1709,Al/Or,Alfaroa/Oreomunnea
1535,Alga.sp,Alga (spore)
2054,Algae,Algae
2817,Algae.ud,Algae undiff.
513,Ali,Alisma
3437,Ali.p-a,Alisma plantago-aquatica
1177,Aliae,Alismataceae
2149,Aliae.ud,Alismataceae undiff.
3715,Alk,Alkanna
2242,,Alliaceae
1581,Alo,Allionia
12,All,Allium
557,All-t,Allium-type
1822,Alp,Allophylus
2243,,Alnaster fruticosus
330,Aln,Alnus
3662,Aln.P6,Alnus (hexaporate)
3660,Aln.P5,Alnus (pentaporate)
3659,Aln.P4,Alnus (tetraporate)
3661,Aln.P3,Alnus (triporate)
3134,Aln.a,Alnus acuminata
1395,Aln.cf.i,Alnus cf. A. incana
1394,Aln.cf.v,Alnus cf. A. viridis
1362,,Alnus crispa
1295,,Alnus fruticosa
1299,Aln.g,Alnus glutinosa
1300,Aln.h,Alnus hirsuta
344,Aln.i,Alnus incana
971,Aln.h-t,Alnus rhombifolia-type
861,Aln.r,Alnus rubra
264,Aln.r-t,Alnus rubra-type
343,,Alnus rugosa
342,,Alnus rugosa-type
3512,Aln.s,Alnus serrulata
860,,Alnus sinuata
972,,Alnus sinuata-type
15,Aln.ud,Alnus undiff.
353,Aln.v,Alnus viridis
3606,Aln.v.c,Alnus viridis subsp. crispa
3607,Aln.vc-t,Alnus viridis subsp. crispa-type
3683,Aln.v.f,Alnus viridis subsp. fruticosa
3604,Aln.v.s,Alnus viridis subsp. sinuata
3605,Aln.vs-t,Alnus viridis subsp. sinuata-type
14,Aln.v-t,Alnus viridis-type
3292,Aho,Alphitonia
2974,Aso,Alsophila
1823,Aso.cf.e,Alsophila cf. A. elegans
3127,Aso.s,Alsophila setosa
1763,Als,Alstroemeria
1877,Alt,Alternanthera
1861,Alt.II,Alternanthera (type II)
2587,Alt.p,Alternanthera philoxeroides
1711,Alt-t,Alternanthera-type
3220,Amn,Amanoa
1355,Amaae,Amaranthaceae
2004,Amaae.ud,Amaranthaceae undiff.
3501,Ama.a,Amaranthus australis
401,Ama.r-t,Amaranthus retroflexus-type
1824,Amr,Amaryllis
3507,Amb.a,Ambrosia artemisiifolia
2612,Am/Iv,Ambrosia/Iva
16,Amb-t,Ambrosia-type
558,Ame,Amelanchier
