NomSite,Sigle,Superficie,Vegetation,NbreDate,Date d'echantillonnage,Prof1,Prof2,Latitude,Longitude,Diagramme complet,Charbons et PAF
Age 02 (Iles-de-la-Madeleine),AGE02,,SBb/SEpb,1,07-08-1985,,,472157,615226,p,
Albion,ALB,2.5,EBj,4,25-07-1974,445,455,454015,711930,c,
Albion,ALB2,2.5,EBj,16,01-07-1996,595,600,454008.42,711928.72,c,chb p
Albion,ALB3,2.5,EBj,1,01-07-1996,160,162,454005.89,711936.15,c,paf
Albion,ALB4,2.5,EBj,1,01-07-1996,158,160,454005.25,711935.42,c,paf
Albion,ALB5,2.5,EBj,5,01-07-1996,214,216,454005.68,711934.04,c,
Alexander Lake,ALEX,,PN,3,,220,245,532000,603500,c,c
Alfred,Alfred,,,0,,,,453000,744800,,
Aliuk Pond,ALIUK,7,TF/k,2,,50,72,543500,572200,c,c
Alphonse (Saint-),STA,2,EBj,1,08-06-1980,295,300,481500,653657,p,
Amakuttalik (Lac),AMA9508,40,T,3,26-05-1995,237,238,674833,643439,c,p 
Am_ricains (lac aux),AMER,6,SEpn,0,,,,485721,660130,p,
Amqui I,Amqui1,,,0,,,,482800,672600,,
Ange (lac ˆ l'),ANGE,0.5,SBb,8,,499,507,472843.65,704102.29,c,c
Antoine (St.),ANTOINE,,EC/ET,0,,,,484800,731800,p,
Atikonak Dam,ATIKONAK,,PC,0,,,,534700,652500,c,
Atocas (lac aux),ATO,1.2,EC,4,08-06-1979,825,835,453238.66,731842.89,c,c
Bachelor Lake,Bach,,,0,,,,493200,780600,,
Baie des Onze Iles,MAU2,0.6,EBj,0,10-09-1974,,,464449,730751,c,
Barnston Lake,BARNST,2.8,EBj,1,,485,495,450642,715300,b,
Base de Plein Air,BPA,5.5,ET,3,,190,198,464727.88,712023.64,c,
Bassin (le),BASS,,SEpb,0,,,,471301,615501,c,
Bathurst Inlet,Bathurst,,,0,,,,664900,1070000,,
Battery Lake,BATT,,PC,0,,,,521800,620700,b,
Bear lake,BEAR,2,SBj,2,,212,217,470158,603600,p,
Beaus_jour,BEAU,,ET,2,,100,105,463914,711001,c,
Bellerive,Bell,,,0,,,,462400,745900,,
Benjamin (St-),BUSQUE,30,EBj,1,21-06-1969,520,570,461644,703545,c,
